,Substructure,Frequency0,Frequency1,Frequency2
314,OCOCC(CO)OC1OC(CO)C(O)C(O)C1O,0.0,1.0,0.0
315,OCOC(CO)COC1OC(CO)C(O)C(O)C1O,0.0,1.0,0.0
316,OCC(O)OCCOC1OC(CO)C(O)C(O)C1O,0.0,1.0,0.0
317,OCC(O)C(O)COC1OC(CO)C(O)C(O)C1O,0.0,1.0,0.0
318,OCOC(CO)C(CO)OC(CO)OC(CO)CO,0.0,1.0,0.0
319,OCC(CO)OC(CO)OC(C(O)CO)C(O)CO,0.0,1.0,0.0
320,OCC(CO)OC(CO)OC1COC(O)C(O)C1O,0.0,1.0,0.0
321,OCC(O)OC(CO)COC(CO)OC(CO)CO,0.0,1.0,0.0
322,OCOC(CO)C(CO)OCOC(CO)C(O)CO,0.0,1.0,0.0
323,OCC(O)C(CO)OCOC(C(O)CO)C(O)CO,0.0,1.0,0.0
324,OCC(O)C(CO)OCOC1COC(O)C(O)C1O,0.0,1.0,0.0
325,OCC(O)OC(CO)COCOC(CO)C(O)CO,0.0,1.0,0.0
326,OCC(CO)OCOC1C(CO)OC(O)C(O)C1O,0.0,1.0,0.0
327,OCCOC(OC(CO)C(CO)OCO)C(O)CO,0.0,1.0,0.0
328,OCCOC(OC(C(O)CO)C(O)CO)C(O)CO,0.0,1.0,0.0
329,OCCOC(OC1COC(O)C(O)C1O)C(O)CO,0.0,1.0,0.0
330,OCCOC(OCC(CO)OC(O)CO)C(O)CO,0.0,1.0,0.0
331,OCCOC(CO)OC1C(CO)OC(O)C(O)C1O,0.0,1.0,0.0
332,OCOC(CO)C(CO)OC1OCC(O)C(O)C1O,0.0,1.0,0.0
333,OCC(O)C(OC1OCC(O)C(O)C1O)C(O)CO,0.0,1.0,0.0
334,OC1COC(OC2COC(O)C(O)C2O)C(O)C1O,0.0,1.0,0.0
335,OCC(O)OC(CO)COC1OCC(O)C(O)C1O,0.0,1.0,0.0
336,OCC(O)COCOC1C(CO)OC(O)C(O)C1O,0.0,1.0,0.0
337,COC(OC1C(CO)OC(O)C(O)C1O)C(O)CO,0.0,1.0,0.0
338,OCC(O)C(O)COC1C(CO)OC(O)C(O)C1O,0.0,1.0,0.0
339,OCOC(CO)C(CO)OC1OC(CO)C(O)C(O)C1O,0.0,1.0,0.0
340,OCC(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.0,1.0,0.0
341,OCC1OC(OC2COC(O)C(O)C2O)C(O)C(O)C1O,0.0,1.0,0.0
342,OCC(O)OC(CO)COC1OC(CO)C(O)C(O)C1O,0.0,1.0,0.0
343,OCC(CO)OC(CO)OC1C(CO)OC(O)C(O)C1O,0.0,1.0,0.0
344,OCC(O)C(CO)OCOC1C(CO)OC(O)C(O)C1O,0.0,1.0,0.0
