smiles,group
CCCCCCCCCCCCCCCC(=O)Nc1cc2c(cc1F)c(=O)c(C(=O)OCC)cn2CC,not-antibacterial
CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(O)C(N(C)C)C2O)C(CC=CC(=O)O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1OC,not-antibacterial
CC1CCN(C(c2ccc(F)cc2)c2c(O)ccc3ccccc23)CC1,not-antibacterial
O=C1CSC(=NN=Cc2ccncc2)N1C(=O)c1ccccc1,not-antibacterial
Cc1cn(-c2c(C=O)c(C)nn2-c2ccccc2)cn1,not-antibacterial
O=C(Cc1ccccc1)NCC1=Cc2ccccc2OC1(O)C(F)(F)F,not-antibacterial
Cc1ccc2nc3c(cc2c1)C=NN=C(Nc1cccc(Cl)c1)S3,not-antibacterial
Cc1ccc(-c2nn(-c3ccccc3)cc2C2c3c(n(C)c(=O)n(C)c3=O)N=CN2c2cccc([N+](=O)[O-])c2)cc1,not-antibacterial
O=c1oc2ccccc2cc1-c1nnc(Sc2nc(Oc3cccc4cccnc34)nc(N3CCN(Cc4ccccc4)CC3)n2)o1,not-antibacterial
O=[N+]([O-])c1cccc(Nc2nc(NC(=S)N3N=C(c4ccccc4)CC3c3ccccc3[N+](=O)[O-])nc(Nc3cccc([N+](=O)[O-])c3)n2)c1,not-antibacterial
CCCCCCCCCCCCCCCCCC(=O)Nc1nnc(SC2OC(CO)C(O)C(O)C2O)s1,not-antibacterial
N#CCN(Cc1ccc(F)cc1F)c1ccccc1,not-antibacterial
CC(=O)NCC1CN(c2ccc(N3CCN(c4c(F)cc5c(=O)c(C(=O)O)cn6c5c4OCC6C)CC3)c(F)c2)C(=O)O1,not-antibacterial
Cc1nn(-c2ccc([N+](=O)[O-])cc2)c2c1C1c3c(ccc4c(C)cc(=O)oc34)OCC1CO2,not-antibacterial
O=C(O)COC(Cn1nnc(-c2ccccc2)n1)c1ccc(Cl)cc1,not-antibacterial
CC(=NNc1nc(-c2ccc(Cl)cc2Cl)cs1)C1CCCCC1,not-antibacterial
NC(=O)c1noc(-c2ccc(N3CCOCC3)c(F)c2)n1,not-antibacterial
S=c1n(CN2CCCCC2)nc(-c2ccccc2Cl)n1-c1ccc(Br)cc1,not-antibacterial
COc1ccc(-n2c(-c3cccc(Cl)c3)nn(CN3CCCC3)c2=S)cc1,not-antibacterial
