Substructure,Frequency1,OccurrenceList1
CC1(C)SCN(C=O)C1C(=O)O,2,"1,0,1,0"
CC(C)(S)CNC(=O)CN,2,"1,0,1,0"
CC(=O)NC(C(=O)O)C(C)(C)S,2,"1,0,1,0"
CC(C)SC1NC(=O)C1N,2,"1,0,1,0"
CC(C)SC(N)CNC=O,2,"1,0,1,0"
CC(C)SCC(C=O)NC=O,2,"1,0,1,0"
CC(=O)NCCSC(C)C,2,"1,0,1,0"
CC(C)CN1CC(N)C1=O,2,"1,0,1,0"
CC(C)C(C(=O)O)N1CCC1=O,2,"1,0,1,0"
CC(C)CNC(=O)CNC=O,2,"1,0,1,0"
CC(C)C(NC(=O)CN)C(=O)O,2,"1,0,1,0"
CC(C)CNCCNC=O,2,"1,0,1,0"
CC(C)C(NCCN)C(=O)O,2,"1,0,1,0"
CC1CN2C(=O)C(N)C2S1,2,"1,0,1,0"
CC1CNC(CNC=O)S1,2,"1,0,1,0"
CC1SC(CN)NC1C(=O)O,2,"1,0,1,0"
CC1SC2CC(=O)N2C1C(=O)O,2,"1,0,1,0"
CC(CC(=O)O)SCC(N)C=O,2,"1,0,1,0"
CC(CC(=O)O)SCCNC=O,2,"1,0,1,0"
CC(S)CNC(=O)CNC=O,2,"1,0,1,0"
CC(S)C(NC(=O)CN)C(=O)O,2,"1,0,1,0"
CCSC1NC(=O)C1NC=O,3,"1,1,1,0"
CCSC(N)CNC(C)=O,3,"1,1,1,0"
CCSCC(C=O)NC(C)=O,3,"1,1,1,0"
CCSCCNC(=O)CN,2,"1,1,0,0"
cCC(=O)NCCSCC,2,"1,0,1,0"
CCCN1CC(NC=O)C1=O,2,"1,0,1,0"
CCC(C(=O)O)N1CC(N)C1=O,2,"1,0,1,0"
CCCNC(=O)CNC(C)=O,2,"1,0,1,0"
CCC(NC(=O)CNC=O)C(=O)O,2,"1,0,1,0"
CCCNCCNC(C)=O,2,"1,0,1,0"
CCC(NCCNC=O)C(=O)O,2,"1,0,1,0"
O=CNC1C(=O)N2CCSC12,2,"1,0,1,0"
NC1C(=O)N2C(C(=O)O)CSC12,2,"1,0,1,0"
CC(=O)NCC1NCCS1,2,"1,0,1,0"
O=CNCC1NC(C(=O)O)CS1,2,"1,0,1,0"
O=CNC(C=O)CSCCC(=O)O,2,"1,0,1,0"
