Substructure,Frequency,Percentage0
COC(O)CC(O)CO,1,20.0
CCOCCC(O)CO,1,20.0
COC(O)C(O)CCO,1,20.0
CCOCC(O)CCO,1,20.0
CCOC(O)CCCO,1,20.0
CC(C)OCCCCO,1,20.0
OCCCCOCCO,1,20.0
CCCOCCCCO,1,20.0
COC(O)C(O)C(C)O,1,20.0
CCOCC(O)C(C)O,1,20.0
CCOC(O)CC(C)O,1,20.0
CC(O)CCOC(C)C,1,20.0
CC(O)CCOCCO,1,20.0
CCCOCCC(C)O,1,20.0
CCOC(O)C(O)CC,1,20.0
CCC(O)COC(C)C,1,20.0
CCC(O)COCCO,1,20.0
CCCOCC(O)CC,1,20.0
CCCC(O)OC(C)C,1,20.0
CCCC(O)OCCO,1,20.0
CCCOC(O)CCC,1,20.0
CCCCOC(C)CO,1,20.0
CCCCOC(C)CC,1,20.0
CCCCOCC(C)O,1,20.0
CCCCOCCOC,1,20.0
CCCCOCCCO,1,20.0
CCCCOCCCC,1,20.0
CC(C)OCC(O)CO,1,20.0
CCCOCC(O)CO,1,20.0
CC(C)OC(O)CCO,1,20.0
CCCOC(O)CCO,1,20.0
CC(CO)OCCCO,1,20.0
CCC(C)OCCCO,1,20.0
CC(O)COCCCO,1,20.0
COCCOCCCO,1,20.0
OCCCOCCCO,1,20.0
CC(C)OC(O)C(C)O,1,20.0
CCCOC(O)C(C)O,1,20.0
CC(O)COC(C)CO,1,20.0
CCC(C)OCC(C)O,1,20.0
CC(O)COCC(C)O,1,20.0
COCCOCC(C)O,1,20.0
CCC(O)OC(C)CO,1,20.0
CCC(C)OC(O)CC,1,20.0
CCC(O)OCC(C)O,1,20.0
CCC(O)OCCOC,1,20.0
CCC(O)OCCCO,1,20.0
CCCCOC(O)CC,1,20.0
CCCOC(C)C(C)O,1,20.0
CCCOC(C)COC,1,20.0
CCCOC(CC)CO,1,20.0
CCCOC(CO)CO,1,20.0
CCCOC(CC)CC,1,20.0
CCCOC(C)CCO,1,20.0
CCCOC(C)CCC,1,20.0
CCCOCC(C)OC,1,20.0
CCCOCCOCC,1,20.0
CCCOCCOCO,1,20.0
CCC(C)OC(O)CO,1,20.0
CC(O)COC(O)CO,1,20.0
COCCOC(O)CO,1,20.0
OCCCOC(O)CO,1,20.0
CCCCOC(O)CO,1,20.0
CC(O)C(C)OCCO,1,20.0
COCC(C)OCCO,1,20.0
CCC(CO)OCCO,1,20.0
CCC(CC)OCCO,1,20.0
CC(CCO)OCCO,1,20.0
CCCC(C)OCCO,1,20.0
COC(C)COCCO,1,20.0
CCOCCOCCO,1,20.0
OCCOCCOCO,1,20.0
CC(O)OC(C)C(C)O,1,20.0
COCC(C)OC(C)O,1,20.0
CCC(CO)OC(C)O,1,20.0
CCC(CC)OC(C)O,1,20.0
CC(O)OC(C)CCO,1,20.0
CCCC(C)OC(C)O,1,20.0
COC(C)COC(C)O,1,20.0
CC(O)OCC(O)CO,1,20.0
CCOCCOC(C)O,1,20.0
CC(O)OCCOCO,1,20.0
CC(O)OCCCCO,1,20.0
CC(O)CCOC(C)O,1,20.0
CCC(O)COC(C)O,1,20.0
CCOC(C)C(C)OC,1,20.0
CCOC(CC)C(C)O,1,20.0
CCOC(CO)C(C)O,1,20.0
CCOC(C)C(O)CO,1,20.0
CCOC1CCCOC1,1,20.0
CCOC(C)COCO,1,20.0
CCOC(CO)COC,1,20.0
CCOC(CO)CCO,1,20.0
CCCC(CC)OCC,1,20.0
CCOC(CC)CCO,1,20.0
CCOC(C)CCCO,1,20.0
CCOC(C)CC(C)O,1,20.0
CCOC(C)C(O)CC,1,20.0
CCOCC(C)OCC,1,20.0
CCOCC(C)OCO,1,20.0
CCOCC(CO)OC,1,20.0
CCOCCCC(O)O,1,20.0
COC(C)C(C)OCO,1,20.0
CCC(OCO)C(C)O,1,20.0
OCOC1CCCOC1,1,20.0
CC(COCO)OCO,1,20.0
COCC(CO)OCO,1,20.0
CCCC(CC)OCO,1,20.0
CCC(CCO)OCO,1,20.0
CC(CCCO)OCO,1,20.0
CC(O)CC(C)OCO,1,20.0
CCC(O)C(C)OCO,1,20.0
COC(CO)COCO,1,20.0
OCOCCCC(O)O,1,20.0
OCOCCC(O)CO,1,20.0
OCCC(O)COCO,1,20.0
CC(O)C(O)COCO,1,20.0
COC1CCCOC1C,1,20.0
COC(C)C(CO)OC,1,20.0
COC(CCO)C(C)O,1,20.0
COC(C(C)O)C(C)O,1,20.0
CCC(OC)C(O)CO,1,20.0
COC1CCC(O)OC1,1,20.0
COC1COCC(O)C1,1,20.0
COC1COCCC1O,1,20.0
CCC(CCCO)OC,1,20.0
CCC(CC(C)O)OC,1,20.0
CCC(O)C(CC)OC,1,20.0
CCCC(CCO)OC,1,20.0
COC(CCO)CCO,1,20.0
COC(C)CC(O)CO,1,20.0
COC(C)C(O)CCO,1,20.0
COC(C)C(O)C(C)O,1,20.0
COCCC(O)C(O)O,1,20.0
COCC(O)CC(O)O,1,20.0
OCC1OCCC(O)C1O,1,20.0
OCC(O)C(O)C(O)CO,1,20.0
OCC1OCC(O)CC1O,1,20.0
OCC1OC(O)CCC1O,1,20.0
OCOC(CO)C(O)CO,1,20.0
COCOC(CO)C(C)O,1,20.0
OCC1CC(O)C(O)CO1,1,20.0
OCC1CC(O)CC(O)O1,1,20.0
OCC1CCC(O)C(O)O1,1,20.0
COC1CCCC(CO)O1,1,20.0
COCOC(CO)CCO,1,20.0
CCOCOC(CC)CO,1,20.0
OCC(O)OC(CO)CO,1,20.0
COC(C)OC(CO)CO,1,20.0
CCOCOC(CO)CO,1,20.0
COC(CO)OC(C)CO,1,20.0
CCOC(C)OC(C)CO,1,20.0
CC(C)OCOC(C)CO,1,20.0
CC(CO)OCOCCO,1,20.0
CCCOCOC(C)CO,1,20.0
CC(O)C(O)C(O)CCO,1,20.0
OCCC(O)C(O)CCO,1,20.0
OCCC(O)CC(O)CO,1,20.0
COCCCC(O)CCO,1,20.0
OCCCC(O)C(O)CO,1,20.0
COCCC(O)CCCO,1,20.0
COCC(O)CCCCO,1,20.0
CCOCCCCCCO,1,20.0
OCCOC(O)C(O)CO,1,20.0
COC(CCO)OCCO,1,20.0
COC(OCCO)C(C)O,1,20.0
CCOC(CC)OCCO,1,20.0
CCOC(CO)OCCO,1,20.0
CC(C)OC(C)OCCO,1,20.0
CC(OCCO)OCCO,1,20.0
CCCOC(C)OCCO,1,20.0
CCC(C)OCOCCO,1,20.0
CC(O)COCOCCO,1,20.0
COCCOCOCCO,1,20.0
OCCCOCOCCO,1,20.0
CCCCOCOCCO,1,20.0
CC1OCC(O)C(O)C1O,1,20.0
CC1OC(O)CC(O)C1O,1,20.0
CC1OC(O)C(O)CC1O,1,20.0
COC1CCC(O)C(C)O1,1,20.0
COCOC(C)C(O)CO,1,20.0
CCOCOC(C)C(C)O,1,20.0
CC1CC(O)C(O)C(O)O1,1,20.0
COC1CC(O)CC(C)O1,1,20.0
COC1OC(C)CCC1O,1,20.0
CCOC1CCCC(C)O1,1,20.0
CCOCOC(C)CCO,1,20.0
CCC(C)OCOC(C)C,1,20.0
CCCOCOC(C)CC,1,20.0
CCOC(CO)OC(C)C,1,20.0
CC(C)OC(C)OC(C)C,1,20.0
CCCOC(C)OC(C)C,1,20.0
CC(O)COCOC(C)C,1,20.0
COCCOCOC(C)C,1,20.0
CC(C)OCOCCCO,1,20.0
CCCCOCOC(C)C,1,20.0
CCC(O)C(O)C(O)CO,1,20.0
CCC(O)C(O)CCOC,1,20.0
CCC(O)CC(O)COC,1,20.0
CCOCCCC(O)CC,1,20.0
CCCC(O)C(O)COC,1,20.0
